,City,Latitude,Longitude,Max_Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
0,Constitucion,-35.33,-72.42,65.93,54,0,11.66
1,Gizo,-8.1,156.84,76.73,90,100,23.25
2,Soe,-9.86,124.28,74.93,82,100,9.37
3,Grindavik,63.84,-22.43,24.53,92,75,9.17
4,Tchollire,8.4,14.17,74.93,25,0,0.69
5,Nikolskoye,59.7,30.79,33.53,59,100,8.95
6,Mareeba,-17.0,145.43,80.33,83,79,6.94
7,Ponta do Sol,32.67,-17.1,60.53,63,75,13.87
8,Mahon,39.89,4.27,49.73,87,92,13.87
9,Mount Gambier,-37.83,140.77,58.73,82,90,9.17
10,Rumoi,43.93,141.64,31.73,65,100,15.95
11,Busselton,-33.65,115.33,60.53,37,0,7.14
12,Olga,43.74,135.29,19.13,63,55,21.34
13,Okhotsk,59.38,143.3,-11.47,96,100,8.3
14,Maridi,4.92,29.47,67.73,17,100,3.8
15,Mossamedes,-15.2,12.15,73.13,76,97,7.83
16,George Town,5.41,100.34,78.53,94,20,2.17
17,Bushenyi,-0.59,30.21,64.13,76,73,3.15
18,Upernavik,72.79,-56.15,-9.67,60,100,4.5
19,Rikitea,-23.12,-134.97,74.93,78,26,17.41
20,Dzilam Gonzalez,21.28,-88.93,82.13,68,0,12.1
21,Myingyan,21.47,95.38,62.33,70,0,5.64
22,Cherskiy,68.75,161.3,-16.87,98,100,4.25
23,Port Hardy,50.7,-127.42,38.93,80,90,4.7
24,Punta Arenas,-53.15,-70.92,51.53,81,90,18.35
25,Fortuna,40.6,-124.16,51.53,71,20,16.11
26,Mahebourg,-20.41,57.7,78.53,88,75,4.7
27,Lucapa,-8.42,20.74,60.53,97,100,2.53
28,New Norfolk,-42.78,147.06,60.53,38,75,14.99
29,Ostrovnoy,68.05,39.51,19.13,91,100,20.79
30,Vaini,-21.2,-175.2,82.13,78,40,10.29
31,Bredasdorp,-34.53,20.04,62.33,94,0,2.98
32,Tuktoyaktuk,69.45,-133.04,-15.07,75,75,11.41
33,Albany,42.6,-73.97,65.93,63,75,11.41
34,Jamestown,42.1,-79.24,65.93,87,90,10.29
35,Ushuaia,-54.8,-68.3,51.53,66,75,18.35
36,Butaritari,3.07,172.79,82.13,72,94,7.38
37,Mahibadhoo,3.78,72.97,80.33,76,43,17.65
38,Hermanus,-34.42,19.23,65.93,94,0,6.15
39,Thompson,55.74,-97.86,-13.27,69,40,4.7
40,Kisangani,0.52,25.2,71.33,79,0,4.36
41,Diamantino,-14.41,-56.45,83.93,80,100,4.77
42,Quatre Cocos,-20.21,57.76,78.53,88,75,4.7
43,Zhigansk,66.77,123.37,-13.27,96,98,8.84
44,Cape Town,-33.93,18.42,69.53,88,0,13.87
45,Hambantota,6.12,81.12,78.53,82,0,25.64
46,Mataura,-46.19,168.86,56.93,78,91,13.0
47,Shvartsevskiy,54.1,37.99,24.53,94,93,11.95
48,Kahului,20.89,-156.47,74.93,100,90,11.41
49,Samarai,-10.62,150.67,76.73,89,99,3.6
50,Avera,33.19,-82.53,76.73,88,90,6.94
51,East London,-33.02,27.91,73.13,89,70,14.27
52,Lanquin,15.57,-89.97,76.73,59,0,5.08
53,Porto-Novo,6.5,2.6,82.13,88,20,6.94
54,Airai,-8.93,125.41,67.73,90,100,4.59
55,Qaanaaq,77.48,-69.36,-13.27,44,0,6.4
56,Bluff,-46.6,168.33,56.93,78,71,13.0
57,Sitka,57.05,-135.33,19.13,48,1,11.41
58,Kingaroy,-26.53,151.83,76.73,88,75,4.7
59,Pevek,69.7,170.31,-6.07,96,100,5.75
60,Gold Coast,-28.0,153.43,76.73,89,93,1.99
61,Mabaruma,8.2,-59.78,80.33,68,0,6.4
62,Pangnirtung,66.15,-65.71,-36.67,98,100,1.52
63,Zhangjiakou Shi Xuanhua Qu,40.61,115.04,10.13,76,95,3.71
64,Faanui,-16.48,-151.75,80.33,79,72,19.73
65,Nanortalik,60.14,-45.24,15.53,56,33,16.78
66,Ribeira Grande,38.52,-28.7,55.13,62,75,9.17
67,Smithers,54.78,-127.17,15.53,85,75,3.36
68,Bollnaes,61.35,16.39,44.33,82,99,4.0
